agent,timestamp,latency_ms
Editor,1744988959.626003,13.99
Editor,1744988966.4649193,3.70
Editor,1744988974.1505485,1.77
Editor,1744989319.7340546,158.66
Editor,1744989330.846556,40.15
Editor,1744989341.83503,3.18
