label,timestamp,latency_ms
state_server,1744875695.4450407,0.08
state_server,1744875698.72896,0.07
state_server,1744875700.7443798,0.05
state_server,1744875705.9566123,0.06
state_server,1744875942.1429968,0.46
state_server,1744875947.6130607,0.07
state_server,1744875957.3897796,0.06
