agent,function,thread_id,duration_sec
Editor,state_report,23456246748992,0.9101
Editor,state_report,23456246748992,0.9362
Editor,state_report,23456246748992,1.0445
Editor,state_report,23456246748992,1.5803
Editor,state_report,23456246748992,1.2398
Editor,state_report,23456246748992,1.1274
Editor,state_report,23456246748992,1.9179
Editor,state_report,23456246748992,1.4031
Editor,state_report,23456246748992,1.1450
Editor,state_report,23456246748992,2.2724
Editor,state_report,23456246748992,2.5637
Editor,state_report,23456246748992,1.5076
Editor,state_report,23456246748992,1.0553
Editor,state_report,23456246748992,1.2988
Editor,state_report,23456246748992,1.4805
Editor,state_report,23456246748992,1.2679
Editor,state_report,23456246748992,1.3189
Editor,state_report,23456246748992,2.2163
Editor,state_report,23456246748992,2.3548
Editor,state_report,23456246748992,1.3105
Editor,state_report,23456246748992,1.4235
Editor,state_report,23456246748992,1.1660
Editor,state_report,23456246748992,1.1200
Editor,state_report,23456246748992,1.1363
Editor,state_report,23456246748992,1.4772
Editor,state_report,23456246748992,1.1786
Editor,state_report,23456246748992,2.1256
Editor,state_report,23456246748992,1.3515
Editor,state_report,23456246748992,1.3036
Editor,state_report,23456246748992,1.3205
Editor,state_report,23456246748992,1.9773
Editor,state_report,23456246748992,1.4010
Editor,state_report,23456246748992,1.1363
Editor,state_report,23456246748992,1.2139
Editor,state_report,23456246748992,1.3387
Editor,state_report,23456246748992,1.1832
Editor,state_report,23456246748992,1.1539
Editor,state_report,23456246748992,1.1393
Editor,state_report,23456246748992,2.8965
Editor,state_report,23456246748992,1.1909
Editor,state_report,23456246748992,1.2010
Editor,state_report,23456246748992,1.7724
Editor,state_report,23456246748992,1.1370
Editor,state_report,23456246748992,1.4004
Editor,state_report,23456246748992,1.1380
Editor,state_report,23456246748992,1.3269
Editor,state_report,23456246748992,1.3086
Editor,state_report,23456246748992,1.2076
Editor,state_report,23456246748992,1.2821
Editor,state_report,23456246748992,1.5090
Editor,state_report,23456246748992,1.3399
Editor,state_report,23456246748992,1.4344
Editor,state_report,23456246748992,3.6052
Editor,state_report,23456246748992,1.2391
Editor,state_report,23456246748992,1.1494
Editor,state_report,23456246748992,2.4694
Editor,state_report,23456246748992,1.9575
Editor,state_report,23456246748992,1.1775
Editor,state_report,23456246748992,1.5448
Editor,state_report,23456246748992,2.1879
Editor,state_report,23456246748992,1.1984
Editor,state_report,23456246748992,1.1888
Editor,state_report,23456246748992,1.3685
Editor,state_report,23456246748992,1.8502
Editor,state_report,23456246748992,1.2330
Editor,state_report,23456246748992,1.6243
Editor,state_report,23456246748992,1.8567
Editor,state_report,23456246748992,1.2060
Editor,state_report,23456246748992,1.3345
Editor,state_report,23456246748992,1.1769
Editor,state_report,23456246748992,1.2977
Editor,state_report,23456246748992,2.4389
Editor,state_report,23456246748992,2.2608
Editor,state_report,23456246748992,1.3765
Editor,state_report,23456246748992,1.2415
Editor,state_report,23456246748992,1.1779
Editor,state_report,23456246748992,1.1761
Editor,state_report,23456246748992,3.3902
Editor,state_report,23456246748992,1.2745
Editor,state_report,23456246748992,1.8841
Editor,state_report,23456246748992,1.5154
Editor,state_report,23456246748992,1.1949
Editor,state_report,23456246748992,1.1802
Editor,state_report,23456246748992,1.4185
Editor,state_report,23456246748992,1.8421
Editor,state_report,23456246748992,1.2285
Editor,state_report,23456246748992,1.1691
Editor,state_report,23456246748992,601.3517
