agent,timestamp,rss_mb
group_chat_manager,1744879381.7391858,87.33
group_chat_manager,1744879386.7451172,87.33
group_chat_manager,1744879391.745567,87.83
group_chat_manager,1744879396.7458503,91.41
group_chat_manager,1744879401.7500024,91.41
group_chat_manager,1744879406.751546,90.91
group_chat_manager,1744879411.7525318,86.91
group_chat_manager,1744879416.7566085,87.41
group_chat_manager,1744879421.768862,85.91
group_chat_manager,1744879426.7740083,83.41
group_chat_manager,1744879431.7792282,81.91
group_chat_manager,1744879436.7843785,81.91
group_chat_manager,1744879441.7895126,81.91
group_chat_manager,1744879446.7946491,81.91
group_chat_manager,1744879451.7997668,81.91
group_chat_manager,1744879456.8050125,81.91
group_chat_manager,1744879461.8101654,81.91
group_chat_manager,1744879466.8153472,81.91
group_chat_manager,1744879471.8204846,81.91
group_chat_manager,1744879476.8256083,81.91
group_chat_manager,1744879481.8275647,81.91
group_chat_manager,1744879486.832792,82.41
group_chat_manager,1744879491.8379455,82.41
group_chat_manager,1744879496.843079,82.41
group_chat_manager,1744879501.8482172,82.41
group_chat_manager,1744879506.84961,82.91
group_chat_manager,1744879511.8547351,82.91
group_chat_manager,1744879516.859861,82.91
group_chat_manager,1744879521.8606439,82.91
group_chat_manager,1744879526.865783,82.91
group_chat_manager,1744879531.8709314,82.91
group_chat_manager,1744879536.8761244,82.91
group_chat_manager,1744879541.8812609,83.41
group_chat_manager,1744879546.8863897,82.91
group_chat_manager,1744879551.8915217,82.91
group_chat_manager,1744879556.8967435,83.41
group_chat_manager,1744879561.9019034,83.41
group_chat_manager,1744879566.9070282,83.41
group_chat_manager,1744879571.9122014,83.41
group_chat_manager,1744879576.9173424,83.41
group_chat_manager,1744879581.922479,83.41
group_chat_manager,1744879586.9277296,83.41
group_chat_manager,1744879591.9328947,83.41
group_chat_manager,1744879596.9380324,83.41
group_chat_manager,1744879601.943283,83.41
group_chat_manager,1744879606.9485285,85.91
group_chat_manager,1744879611.9500144,85.91
group_chat_manager,1744879616.955194,85.91
group_chat_manager,1744879621.9568448,85.91
group_chat_manager,1744879626.9617774,85.91
group_chat_manager,1744879631.9636152,85.91
group_chat_manager,1744879636.9688296,85.91
